Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.018269,0.00279157,0.0386814,1
0.0152281,0.00386644,0.0438045,1
0.012407,0.00250855,0.0260307,1
0.0100239,0.00242678,0.022881,1
0.0144465,0.00259762,0.0298987,1
0.019825,0.00304531,0.027153,1
0.0100898,0.00148824,0.0177045,1
0.00656555,0.001575,0.015931,1
0.00664727,0.00152748,0.0145348,1
0.0087719,0.00189922,0.0214195,1
0.00907316,0.00230549,0.0198891,1
0.00687205,0.0012604,0.0149635,1
0.00703132,0.00178238,0.0186953,1
0.0251489,0.00526746,0.0611094,1
0.00993099,0.00161924,0.0152583,1
0.0286332,0.00685204,0.043325,1
0.0120882,0.00165938,0.0162674,1
0.00905823,0.00194695,0.01899,1
0.00902028,0.00220252,0.020169,1
0.0242819,0.00440315,0.0529166,1
0.0240268,0.00317926,0.0244425,1
0.00720709,0.00145891,0.0153501,1
0.0135029,0.00334488,0.0410656,1
0.0169164,0.00266853,0.0408353,1
0.0177867,0.0029942,0.0259474,1
0.00764953,0.00174952,0.0141011,1
0.00746111,0.00195856,0.0231983,1
0.0283642,0.00527985,0.0691017,1
0.0109664,0.00164579,0.0165301,1
0.0262552,0.00529626,0.0484939,1
0.00929855,0.00167092,0.020293,1
0.00686399,0.00162824,0.0169128,1
0.0101234,0.0019778,0.0177325,1
0.0202653,0.00536618,0.0737732,1
0.022285,0.00221491,0.0231477,1
0.00841526,0.00179358,0.0225414,1
0.00945133,0.00139404,0.0162572,1
0.00811888,0.002365,0.0253906,1
0.00980939,0.00175379,0.0211934,1
0.0299051,0.00524189,0.0312781,1
0.0115343,0.00217253,0.0183485,1
0.00755929,0.00170982,0.0200845,1
0.0118754,0.00258033,0.035474,1
0.0156913,0.00313395,0.0392054,1
0.0127244,0.00244141,0.0186511,1
0.00778404,0.00175453,0.0129886,1
0.0100507,0.00223917,0.0185156,1
0.011202,0.00272243,0.0233656,1
0.0248725,0.00522801,0.0533971,1
0.0108803,0.00206868,0.0191533,1
0.0115442,0.00248236,0.0206972,1
0.0134661,0.00248025,0.0263542,1
0.0117769,0.00219172,0.0214128,1
0.012197,0.00279859,0.0222644,1
0.00924566,0.00203539,0.0156234,1
0.0097054,0.00161993,0.0194438,1
0.0100253,0.00206525,0.0162362,1
0.0107622,0.00218904,0.0224575,1
0.00951866,0.00220305,0.0187053,1
0.0122322,0.0025562,0.0246159,1
0.00715439,0.00164714,0.017002,1
0.00822835,0.00174746,0.0140677,1
0.0231304,0.00238145,0.0212165,1
0.0082754,0.00143446,0.0118768,1
0.00810119,0.00150444,0.0142304,1
0.00749411,0.00173391,0.0188451,1
0.00750823,0.00116246,0.0125908,1
0.0246681,0.00546486,0.052444,1
0.00885163,0.00185485,0.0160013,1
0.0099297,0.00236553,0.0295722,1
0.0101367,0.00255359,0.0214253,1
0.0101313,0.00246228,0.0209247,1
0.0116529,0.00250878,0.0328027,1
0.00935137,0.00163554,0.0199673,1
0.00775653,0.00120229,0.017318,1
0.0131557,0.00272828,0.0387281,1
0.0102114,0.00171055,0.0210858,1
0.00792946,0.00185709,0.0164553,1
0.00817195,0.00221113,0.0239294,1
0.00770489,0.0014857,0.014767,1
0.0270722,0.0055502,0.0540015,1
0.0125138,0.00189605,0.0298807,1
0.0140834,0.00260338,0.0271882,1
0.0110895,0.00202747,0.0280047,1
0.0113394,0.0023446,0.0313117,1
0.0109074,0.0018962,0.0322543,1
0.0135756,0.00191638,0.0308523,1
0.011868,0.00202909,0.0221242,1
0.0147183,0.0018499,0.0219655,1
0.011329,0.00185551,0.0273249,1
0.014768,0.00261449,0.0205732,1
0.0214879,0.00530094,0.0686351,1
0.0158601,0.00186091,0.0255745,1
0.00920457,0.00197771,0.0222664,1
0.0156841,0.00304895,0.0346552,1
0.0176461,0.00219533,0.0287539,1
0.0185159,0.00251527,0.0342711,1
0.0139692,0.00238098,0.0424914,1
0.0106875,0.00188478,0.0197137,1
0.00709943,0.00122107,0.0160946,1
0.0220153,0.00451046,0.0715988,1
0.0163498,0.00207476,0.0227567,1
0.0108176,0.00188355,0.0190585,1
0.00816881,0.00174191,0.0191753,1
0.0294269,0.00470426,0.0559922,1
0.0111723,0.00182775,0.0172445,1
0.0230633,0.00512724,0.0584564,1
0.0191005,0.00216486,0.031883,1
0.00839461,0.0018032,0.0166955,1
0.0133773,0.00190639,0.0185138,1
0.00957499,0.00186026,0.0249531,1
0.0282772,0.00473352,0.0609267,1
0.0131503,0.00223424,0.0289434,1
0.027288,0.00558346,0.0665476,1
0.0112528,0.00174802,0.0213616,1
0.00899636,0.001723,0.0190697,1
0.0140958,0.0043173,0.055454,1
0.0269139,0.00322305,0.0268959,1
0.00994488,0.00311658,0.0189251,1
0.00868496,0.00150433,0.01801,1
0.0133302,0.00311329,0.0449795,1
0.00985673,0.00168146,0.012858,1
0.00782882,0.00165339,0.0210528,1
0.0154171,0.00294478,0.037718,1
0.0144292,0.00302266,0.0288997,1
0.010353,0.00209299,0.027334,1
0.00696444,0.0015959,0.0128503,1
0.0135693,0.00279888,0.022382,1
0.008502,0.00191195,0.0247508,1
0.00895409,0.00142874,0.0191968,1
0.0088588,0.00145215,0.018801,1
0.00841089,0.0017541,0.0176594,1
0.00806693,0.0014741,0.0149035,1
0.00753342,0.00163532,0.01625,1
0.00814782,0.00123377,0.0138285,1
0.0116086,0.00221084,0.0151196,1
0.00709685,0.00137869,0.0129767,1
0.00677091,0.00176241,0.019958,1
0.00772166,0.00174956,0.0159555,1
0.00830718,0.00203138,0.0215149,1
0.00661415,0.00119752,0.0183295,1
0.0105547,0.00228786,0.0163488,1
0.00678431,0.00122061,0.0157168,1
0.00726057,0.00126928,0.0178989,1
0.00703042,0.00158638,0.0117832,1
0.00881691,0.00169693,0.0155609,1
0.0068605,0.00116374,0.0119121,1
0.00775804,0.00139916,0.0172646,1
0.0218268,0.00504756,0.0371685,1
0.00832736,0.00126071,0.0166087,1
0.00730222,0.00186495,0.023023,1
0.00721781,0.00178988,0.0158564,1
0.00720366,0.00183219,0.0159656,1
0.00703203,0.00134083,0.0221913,1
0.00906106,0.00128742,0.0189522,1
0.0068471,0.00167052,0.019421,1
0.0071949,0.0015921,0.0161145,1
0.00693338,0.00129459,0.0155219,1
0.0169773,0.00263688,0.0217173,1
0.0106257,0.0013394,0.0132235,1
0.00753171,0.0012399,0.02133,1
0.00706087,0.00142537,0.0166237,1
0.00796533,0.0012687,0.0128672,1
0.0109927,0.00236003,0.0281027,1
0.00757466,0.0014622,0.017018,1
0.0109782,0.00159781,0.0137401,1
0.00680964,0.00131706,0.0119268,1
0.00942771,0.00211994,0.0196646,1
0.0129988,0.00263141,0.0414779,1
0.0144309,0.00356782,0.0384343,1
0.0140885,0.00261925,0.0399876,1
0.00928026,0.00202105,0.022035,1
0.00860227,0.00196173,0.0196377,1
0.00852963,0.00151257,0.0158201,1
0.00911312,0.00174386,0.021707,1
0.00909202,0.00157927,0.0213952,1
0.0119719,0.00287686,0.0310215,1
0.0120652,0.00303,0.0318126,1
0.0131749,0.00231582,0.0286886,1
0.0148427,0.00231811,0.0437231,1
0.00979294,0.00241701,0.0317549,0.990431
0.0116374,0.00194655,0.0236121,1
0.00928986,0.00211088,0.0279965,1
0.00932486,0.0021599,0.0223756,1
0.00975307,0.00203044,0.0241078,1
0.0116545,0.00240791,0.0231395,1
0.0316521,0.00534407,0.0337376,1
0.0109299,0.00149116,0.0228188,1
0.00871496,0.00142425,0.0197767,1
0.0274867,0.00530242,0.0668124,1
0.0134546,0.0020562,0.017614,1
0.00700055,0.00177573,0.0180257,1
0.00965802,0.00267912,0.0320675,1
0.0127044,0.00272955,0.0262843,1
0.0106071,0.00239146,0.0266789,1
0.013451,0.0026782,0.0236241,1
0.0283338,0.00401426,0.0537229,1
0.0175489,0.00273587,0.0364922,1
0.0185691,0.0036161,0.0313985,1
0.00936869,0.0017984,0.0195752,1
0.00826873,0.00187115,0.0209415,1
0.00820183,0.00150255,0.0171609,1
0.00820391,0.0020214,0.0207107,1
0.0354349,0.00566524,0.0599465,1
0.0115099,0.00235832,0.017732,1
0.00684947,0.00132498,0.0161616,1
0.0264748,0.00537268,0.0547681,1
0.0129232,0.0021707,0.0171755,1
0.0108288,0.00246014,0.0296549,1
0.0246507,0.00656296,0.0619831,1
0.0102811,0.00198663,0.0228344,1
0.0108861,0.00225398,0.0256431,1
0.0130619,0.00265913,0.0286716,1
0.0178239,0.00274337,0.0373922,1
0.0164044,0.0037583,0.0348117,1
0.0109577,0.00206152,0.0176572,1
0.0087076,0.00196645,0.0221912,1
0.00813086,0.00185083,0.0168387,1
0.00791006,0.00155168,0.017182,1
0.0148975,0.00302212,0.0346824,1
0.0117145,0.0026865,0.0311413,1
0.0129084,0.00243459,0.0349969,1
0.0126159,0.0026374,0.0342798,1
0.0130181,0.0027217,0.0274322,1
0.0119514,0.00274067,0.0355258,1
0.013981,0.00304593,0.029077,1
0.00707086,0.00165175,0.0245687,1
0.0098222,0.00274274,0.0300072,1
0.0104705,0.00227017,0.0266931,1
0.0122667,0.0021703,0.0230478,1
0.0108524,0.00216468,0.0272612,1
0.035226,0.0049639,0.0477813,1
0.0110913,0.00219095,0.0241832,1
0.0105728,0.00241977,0.028632,1
0.0144219,0.00239948,0.0276112,1
0.0105411,0.00246459,0.0220372,1
0.011864,0.00185859,0.0244525,1
0.0255111,0.0052641,0.0660865,1
0.00926246,0.00170428,0.0199467,1
0.00709076,0.00175981,0.014529,1
0.0081987,0.00222777,0.0302879,1
0.0170761,0.0019974,0.0249039,1
0.0116685,0.00249882,0.0280173,1
0.0234661,0.00540252,0.0643976,1
0.011379,0.0017317,0.0188087,1
0.00868912,0.00198864,0.0219871,1
0.0246507,0.0049389,0.0640284,1
0.0155145,0.00192104,0.0175153,1
0.0100283,0.00162977,0.0192193,1
0.0106492,0.00289352,0.0430818,1
0.0197097,0.00342881,0.0364658,1
0.00698031,0.00135173,0.0150216,1
0.0230797,0.00573392,0.0475456,1
0.00944585,0.0018244,0.0162639,1
0.00818033,0.00152913,0.0192706,1
0.0129482,0.00272145,0.035875,1
0.0161298,0.00245706,0.0377639,1
0.017463,0.00261072,0.0372176,1
0.0143667,0.00286622,0.0310557,1
0.00840353,0.0021106,0.0184733,1
0.00910213,0.00172067,0.0208336,1
0.00851644,0.00153934,0.014917,1
0.00851743,0.00184609,0.0236923,1
0.00883021,0.00195083,0.016099,1
0.0247445,0.00580648,0.0630854,1
0.0113377,0.00177376,0.0141979,1
0.00835145,0.00197746,0.0228223,1
0.0270743,0.00447994,0.0577565,1
0.0102158,0.00217704,0.0199254,1
0.0100125,0.00230553,0.0223657,1
0.0119087,0.00207398,0.0303969,1
0.0130338,0.00311704,0.0285949,1
0.0273669,0.00530069,0.0351163,1
0.0111812,0.00164954,0.0164409,1
0.00841618,0.00165935,0.0201165,1
0.00872333,0.00164425,0.0200414,1
0.00823311,0.00149016,0.0201275,1
0.00718441,0.00184711,0.0173267,1
0.026734,0.0053355,0.0359608,1
0.00896393,0.00154157,0.014628,1
0.00739252,0.00132478,0.0151544,1
0.0121944,0.00323269,0.0411306,1
0.0141787,0.0038565,0.039126,1
0.0243865,0.00316864,0.0238747,1
0.00978313,0.00166452,0.0164352,1
0.00810092,0.00144907,0.0210392,1
0.00928694,0.0012301,0.0157276,1
0.0117498,0.00207654,0.018562,1
0.0091408,0.00168285,0.0217658,1
0.00956022,0.00276049,0.0351547,1
0.015204,0.00298748,0.0415649,1
0.00872339,0.00187681,0.0199783,1
0.0265418,0.00572965,0.0373489,1
0.00858249,0.00138505,0.016621,1
0.0251597,0.00528818,0.0592832,1
0.00982385,0.00182321,0.0153031,1
0.0134681,0.00332304,0.0460606,1
0.0181282,0.00357026,0.0404556,1
0.0154819,0.00254149,0.0273494,1
0.00713072,0.00120598,0.0131029,1
0.00839846,0.00176709,0.01863,1
0.00785733,0.00150142,0.016596,1
0.0102688,0.00180604,0.0245382,1
0.0092055,0.00171958,0.0224207,1
0.00976276,0.00172846,0.0274176,1
0.0108517,0.00213136,0.0206671,1
0.00998681,0.00236819,0.0292432,1
0.00964431,0.00190909,0.0212035,1
0.0242623,0.0043754,0.0552094,1
0.0131334,0.00261577,0.0195134,1
0.00769833,0.00141639,0.0181728,1
0.0110045,0.00265814,0.0229572,1
0.0110268,0.00227598,0.0322295,1
0.0121799,0.00261572,0.0320719,1
0.00928353,0.00155828,0.0211715,1
0.00912474,0.0017257,0.0182747,1
0.0104581,0.00188533,0.0210647,1
0.00953394,0.00175205,0.0211639,1
0.0286734,0.00557497,0.0638529,1
0.0110081,0.00139626,0.0207649,1
0.00715282,0.00127739,0.0187143,1
0.0110346,0.00270676,0.0328383,1
0.0108978,0.00209876,0.0259796,1
0.0112713,0.0021977,0.0301343,1
0.0107136,0.00224754,0.0293713,1
0.0148733,0.00262188,0.0253976,1
0.0114475,0.00218622,0.0324283,1
0.0230357,0.00518258,0.0575728,1
0.0131178,0.00197879,0.0269831,1
0.0102752,0.00156678,0.0160294,1
0.0138111,0.00331491,0.0411907,1
0.0252423,0.00507781,0.0397386,1
0.00983197,0.00181914,0.0321183,1
0.00879742,0.0011346,0.0122566,1
0.0174965,0.00429674,0.0591409,1
0.0144086,0.00243,0.0185199,1
0.00727567,0.00159686,0.0225125,1
0.0164029,0.00273367,0.0479165,1
0.0212018,0.00199169,0.0204069,1
0.0199975,0.002732,0.0173537,1
0.0222345,0.0058263,0.0679661,1
0.0117233,0.00186629,0.0170376,1
0.00904548,0.00207751,0.0243861,1
0.0303152,0.00648982,0.0704587,1
0.0123215,0.00171679,0.0174478,1
0.00694778,0.00175835,0.0250036,1
0.0130952,0.00319272,0.0373185,1
0.0201273,0.00339833,0.0363871,0.990476
0.0109709,0.00202384,0.0292972,1
0.0103453,0.00205498,0.0212052,1
0.0109624,0.00209859,0.035561,1
0.0124661,0.00205981,0.0226799,1
0.0114049,0.00210731,0.0315213,1
0.014219,0.00232727,0.0280013,1
0.0121062,0.0023207,0.0282201,1
0.012271,0.00243261,0.0228582,1
0.0114369,0.00249609,0.0265999,1
0.010851,0.00207569,0.0252609,1
0.0119899,0.00279793,0.03874,1
0.0155404,0.00222457,0.0259204,1
0.0106792,0.00212337,0.027803,1
0.0128199,0.00215589,0.0260025,1
0.0111378,0.00214285,0.0302982,1
0.0116315,0.00264114,0.0211283,1
0.0097734,0.00191695,0.0256814,1
0.00978944,0.00224991,0.027923,1
0.0282843,0.00556039,0.0513381,1
0.0118222,0.00158127,0.0208222,1
0.00994281,0.00178354,0.0209199,1
0.0255806,0.00499558,0.0563929,1
0.00957586,0.00190662,0.0194018,1
0.00862967,0.00171014,0.0196342,1
0.0126984,0.00253697,0.0333926,1
0.0197486,0.00254347,0.0261398,1
0.0145776,0.00253987,0.0326118,1
0.0159626,0.0027198,0.0358383,1
0.010635,0.00144083,0.0136917,1
0.0321577,0.00498831,0.045504,1
0.029782,0.00613152,0.0323076,1
0.0110995,0.00170057,0.0209466,1
0.00851952,0.00143743,0.0157926,1
0.0258374,0.00544712,0.0579288,1
0.00927124,0.0023334,0.0259208,1
0.0100877,0.00154636,0.0134479,1
0.0135565,0.00343572,0.059069,1
0.0271173,0.00177556,0.0188955,1
0.00922543,0.00146071,0.0199713,1
0.0252547,0.00459388,0.064521,1
0.0175345,0.00206043,0.023403,1
0.0323517,0.00549773,0.033773,1
0.00717535,0.00125046,0.0191316,1
0.00972138,0.00172122,0.0164444,1
0.0234254,0.00563767,0.0721332,1
0.0160561,0.0022075,0.0156053,1
0.00671758,0.00167411,0.0211909,1
0.0271028,0.00556468,0.0518257,1
0.00737594,0.00119725,0.0149496,1
0.0109707,0.00187908,0.0217728,1
0.0230612,0.00571499,0.0719919,1
0.011767,0.00211133,0.0167432,1
0.00680636,0.00120536,0.0190948,1
0.0151559,0.0022366,0.0290874,1
0.0113909,0.00238158,0.0270486,1
0.0317576,0.0052595,0.0339398,1
0.00834859,0.0016394,0.0170726,1
0.00794104,0.00124928,0.01551,1
0.0166477,0.00371527,0.0444668,1
0.015775,0.00426535,0.0404955,1
0.0133962,0.00200018,0.0166897,1
0.0087012,0.0016913,0.0198907,1
0.0078789,0.00141094,0.0174168,1
0.0105517,0.00174816,0.0160554,1
0.00815086,0.0019371,0.021414,1
0.00635075,0.00137429,0.0158166,1
0.00685805,0.00138934,0.0215669,1
0.0192509,0.00225388,0.0174477,1
0.0070787,0.0015157,0.0224353,1
0.0160632,0.00281847,0.0317042,1
0.00860841,0.00165967,0.0199062,1
0.00883452,0.00159053,0.0133342,1
0.00693133,0.0018039,0.0203139,1
0.0277104,0.00538668,0.0534814,1
0.00819176,0.00174556,0.0178302,1
0.00840746,0.00188915,0.0176465,1
0.0290262,0.00576772,0.0580049,1
0.0101319,0.0017347,0.0208756,1
0.0069638,0.00162052,0.016005,1
0.0260802,0.00627965,0.0619715,1
0.0177182,0.00220963,0.0249664,1
0.00919951,0.00180687,0.0201887,1
0.00778301,0.00169451,0.0202788,1
0.00993196,0.00223312,0.0189051,1
0.0275803,0.00504176,0.0640586,1
0.0145942,0.00177421,0.0168716,1
0.0084514,0.00195355,0.0341236,1
0.00966234,0.00212071,0.0193009,1
0.00908415,0.00200812,0.0238999,1
0.0157601,0.00248606,0.0371799,1
0.0180102,0.00353572,0.0361966,1
0.010271,0.00237168,0.021133,1
0.00745817,0.00180374,0.0154886,1
0.00783013,0.00141997,0.0179514,1
0.0082797,0.0019418,0.0196539,1
0.0153187,0.00240223,0.0241133,0.995261
0.00911293,0.00211724,0.025283,1
0.00923045,0.00209012,0.024239,1
0.00673897,0.00123865,0.0167145,1
0.0243102,0.00510582,0.0568957,1
0.00927345,0.001723,0.0148079,1
0.00838983,0.00125496,0.0152744,1
0.0236148,0.00573071,0.0665264,1
0.0130097,0.00243353,0.019959,1
0.0255284,0.00432752,0.0629172,1
0.0133369,0.00257886,0.027905,1
0.026151,0.00521705,0.0564374,1
0.00945406,0.00205717,0.0189616,1
0.0281302,0.00567488,0.0505112,1
0.0175018,0.00262444,0.0270561,1
0.0125984,0.00215946,0.0226935,1
0.0110156,0.00241981,0.0232812,1
0.0109543,0.00227321,0.0317658,1
0.0110118,0.00209942,0.0228689,1
0.011666,0.00263172,0.0311517,1
0.0102937,0.0021664,0.02184,1
0.0118571,0.00212859,0.0252292,1
0.0109237,0.00201822,0.0232004,1
0.0130189,0.00252977,0.0289703,1
0.0115396,0.00207444,0.0262693,1
0.010715,0.00210708,0.0291361,1
0.0107966,0.00218705,0.0201573,1
0.0119517,0.00214823,0.028896,1
0.0277209,0.00421329,0.0535663,1
0.00947091,0.00201294,0.0174485,1
0.00885834,0.00127497,0.0191261,1
0.0225858,0.00484589,0.0649693,1
0.019848,0.00192558,0.029754,1
0.00908043,0.00149806,0.0200166,1
0.00852361,0.00177605,0.021614,1
0.0127384,0.00244418,0.0301963,1
0.0141157,0.00229935,0.0296661,1
0.0310094,0.00673513,0.0449373,1
0.0264652,0.00237996,0.0276845,1
0.00844654,0.00175522,0.0234627,1
0.0234687,0.00522743,0.0704627,1
0.0121829,0.00208105,0.0213822,1
0.00844756,0.00182025,0.0212789,1
0.0297872,0.00615024,0.0509975,1
0.00981725,0.00155041,0.0220736,1
0.00802175,0.00173327,0.023493,1
0.00774122,0.0014012,0.0164996,1
0.00835928,0.00148705,0.0201771,1
0.0137062,0.00166566,0.0246835,1
0.0118529,0.00229727,0.0272823,1
0.0128781,0.00209009,0.0237825,1
0.0102093,0.00223699,0.0316734,1
0.00925146,0.00238881,0.0207903,1
0.0242735,0.00473648,0.0535286,1
0.0242979,0.00315002,0.0286911,1
0.00861843,0.00199724,0.0209515,1
0.0255823,0.00470329,0.066395,1
0.0170377,0.0036818,0.0316558,1
0.00815029,0.00127683,0.0206869,1
0.0223821,0.0041335,0.0683369,1
0.0139444,0.00186092,0.0175826,1
0.025669,0.00507259,0.0491221,1
0.0083177,0.00127559,0.0221844,1
0.0282753,0.00561165,0.0655671,1
0.0109922,0.00154207,0.0154367,1
0.00826609,0.00179912,0.0376327,1
0.023655,0.00517497,0.052969,1
0.00861017,0.00183929,0.0223504,1
0.00718304,0.00124425,0.0168037,1
0.0182947,0.00485704,0.067164,1
0.0256399,0.00481093,0.0325884,1
0.00784819,0.00135938,0.0144936,1
0.0149667,0.00177721,0.0176322,1
0.0116998,0.00247445,0.0365217,1
0.0157096,0.00303851,0.0323191,1
0.017837,0.00338727,0.0325833,1
0.0122493,0.00241058,0.0298793,1
0.0106457,0.00188398,0.0259601,1
0.0117728,0.002352,0.0335637,1
0.0118673,0.00197894,0.0292682,1
0.0141549,0.00241816,0.029295,1
0.00950038,0.0016862,0.0198,1
0.00825548,0.00149861,0.0227645,1
0.0258414,0.0111907,0.0516151,1
0.0154001,0.00262185,0.0324124,1
0.00997661,0.0018657,0.0234122,1
0.0124586,0.00255003,0.0399756,1
0.0116053,0.0017158,0.0260737,1
0.0107158,0.00175488,0.0204412,1
0.0128066,0.00294458,0.0250386,1
0.011821,0.00205162,0.0247697,1
0.00815457,0.0014666,0.0203718,1
0.0122577,0.00146205,0.0160261,1
0.0271228,0.00522656,0.0479387,1
0.0135285,0.00189094,0.0220831,1
0.00714475,0.0014126,0.0145697,1
0.0267903,0.0050694,0.0462026,1
0.00979408,0.00198466,0.0251727,1
0.0298864,0.00515295,0.0464097,1
0.0197358,0.00497787,0.061497,1
0.0184684,0.00272808,0.0259472,1
0.00718482,0.00124901,0.016187,1
0.0238973,0.00438072,0.0563617,1
0.011345,0.00213442,0.0232348,1
0.00745144,0.00148538,0.0161767,1
0.0142891,0.00246167,0.0389643,1
0.0168488,0.00262672,0.039111,1
0.0106414,0.00181243,0.029228,1
0.0111608,0.00240227,0.0355153,1
0.0114564,0.00212086,0.0291314,1
0.0125098,0.00257562,0.021418,1
0.024992,0.00497007,0.0580808,1
0.00966997,0.00230974,0.0224326,1
0.0103491,0.00160348,0.0254617,1
0.00850742,0.00171558,0.0222334,1
0.00986212,0.00190659,0.0300017,1
0.0107802,0.00202076,0.0213165,1
0.00976862,0.00193845,0.0266726,1
0.00980106,0.00220093,0.0234253,1
0.00960655,0.00207446,0.0208159,1
0.0102993,0.00241011,0.0223172,1
0.0273821,0.00468717,0.059662,1
0.0120649,0.00180525,0.0226675,1
0.00952974,0.00155882,0.0227183,1
0.0104455,0.0016712,0.019899,1
0.00906112,0.00209022,0.0220634,1
0.0134671,0.00220185,0.0169382,1
0.0115233,0.00268077,0.0218972,1
0.00904147,0.00170028,0.0189929,1
0.00738153,0.00163676,0.0180973,1
0.0093332,0.00207876,0.0242643,1
0.00910313,0.00172415,0.0269796,1
0.0156872,0.00280883,0.0304236,1
0.00738012,0.00130049,0.0191573,1
0.0239334,0.0050471,0.0628013,1
0.0119053,0.00247508,0.018643,1
